# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
276,NUEVA TOLEDO,NUEVA TOLEDO,6,1
277,LOMA PYTA,LOMA PYTA,12,1
278,KARAPAI,KARAPAI,14,1
279,ZANJA PYTA,ZANJA PYTA,14,1
280,PASO BARRETO (MUNICIPIO),PASO BARRETO (MUNICIPIO),2,1
281,SAN ALFREDO (MUNICIPIO),SAN ALFREDO (MUNICIPIO),2,1
282,AZOTE¿Y (MUNICIPIO),AZOTE¿Y (MUNICIPIO),2,1
283,MARACANA,MARACANA,18,1
284,PUERTO ADELA,PUERTO ADELA,18,1
285,SAN VICENTE PANCHOLO,SAN VICENTE PANCHOLO,3,1
286,ARROYITO,ARROYITO,2,1
