# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
216,CAPILLA JHUGUA,CAPILLA JHUGUA,13,1
217,CAPILLA LOMA,CAPILLA LOMA,13,1
218,CAPILLA RUGUA,CAPILLA RUGUA,13,1
219,CARIY,CARIY,13,1
220,CAROLINA,CAROLINA,13,1
221,COL. A. CATIGLIONI,COL. A. CATIGLIONI,13,1
222,COL. CHORE,COL. CHORE,13,1
223,COL. COSTA GALVAN,COL. COSTA GALVAN,13,1
224,COL. FRIESLAND,COL. FRIESLAND,13,1
225,COL. GUERRA DEL CHACO,COL. GUERRA DEL CHACO,13,1
226,COL. JHUGUA,COL. JHUGUA,13,1
227,COL. LIBERACION,COL. LIBERACION,13,1
228,COL. SAN ROQUE,COL. SAN ROQUE,13,1
229,COL. TUYANGO,COL. TUYANGO,13,1
230,COL. VALLEMI,COL. VALLEMI,13,1
231,CORRALES,CORRALES,13,1
232,CURUZU - NU,CURUZU - ÑU,13,1
233,FRANCO - CUE,FRANCO - CUE,13,1
234,GUARIA RUGUA,GUARIA RUGUA,13,1
235,GUYRATY,GUYRATY,13,1
236,ISLA CARAYA,ISLA CARAYA,13,1
237,ISLA CURUZU,ISLA CURUZU,13,1
238,ISLA GUAZU,ISLA GUAZU,13,1
239,ISLERIAS,ISLERIAS,13,1
240,ITA PORA,ITA PORA,13,1
241,JHUGUA REY,JHUGUA REY,13,1
242,LAGUNA MOJON,LAGUNA MOJON,13,1
243,LAS DOS MARIAS,LAS DOS MARIAS,13,1
244,MARTINEZ - CUE,MARTINEZ - CUE,13,1
245,MBARETE,MBARETE,13,1
246,MBOCAYATY,MBOCAYATY,13,1
247,MBOCAYA,MBOCAYA,13,1
248,NAVIDAD,NAVIDAD,13,1
249,NEGRO - CUE,NEGRO - CUE,13,1
250,OCIOSO,OCIOSO,13,1
251,OVECHA RETA,OVECHA RETA,13,1
252,PEGUAJHO,PEGUAJHO,13,1
253,PICADA,PICADA,13,1
254,PICADA DEL PUEBLO,PICADA DEL PUEBLO,13,1
255,PIRAY,PIRAY,13,1
256,PIRAYUI,PIRAYUI,13,1
257,PLATERO - CUE,PLATERO - CUE,13,1
258,QUIRAITY,QUIRAITY,13,1
259,QUIRATY Y OTROS,QUIRATY Y OTROS,13,1
260,RIO RUGUA,RIO RUGUA,13,1
261,RIVEROS - CUE,RIVEROS - CUE,13,1
262,RODEO TAYI,RODEO TAYI,13,1
263,SAN PEDRO,SAN PEDRO,13,1
264,SANTA LUCIA,SANTA LUCIA,13,1
265,TAPARI,TAPARI,13,1
266,TAPIRACUAI,TAPIRACUAI,13,1
267,VACA JHU,VACA JHU,13,1
268,ESTACION SANTA ANA GRAL.ROLON,ESTACION SANTA ANA GRAL.ROLON,32,1
269,ESTANCIA STORM,ESTANCIA STORM,32,1
270,EUSEBIO AYALA (MUNICIPIO),EUSEBIO AYALA (MUNICIPIO),32,1
271,ISLA,ISLA,32,1
272,ITA YGASA,ITA YGASA,32,1
273,JHUY BATY,JHUY BATY,32,1
274,LA INDIA,LA INDIA,32,1
275,POTRERO SAN JOSE,POTRERO SAN JOSE,32,1
276,POTRERO DEL CARMEN,POTRERO DEL CARMEN,32,1
277,PUNTA,PUNTA,32,1
278,RUBIO NU,RUBIO ÑU,32,1
