id,code,name,state_id:id,active
district_py_262,262,ALTO VERA,l10n_py_base.state_py_8,True
district_py_263,263,SANTA ROSA DEL AGUARAY,l10n_py_base.state_py_3,True
district_py_264,264,TENIENTE ESTEBAN MARTINEZ,l10n_py_base.state_py_15,True
district_py_265,265,TEBICUARY,l10n_py_base.state_py_5,True
district_py_266,266,CARMELO PERALTA,l10n_py_base.state_py_17,True
district_py_267,267,SAN CARLOS DEL APA,l10n_py_base.state_py_2,True
district_py_268,268,LIBERACIÓN,l10n_py_base.state_py_3,True
district_py_269,269,TAVAPY,l10n_py_base.state_py_11,True
district_py_270,270,SARGENTO JOSE FELIX LOPEZ,l10n_py_base.state_py_2,True
district_py_271,271,YBYRAROBANA,l10n_py_base.state_py_18,True
district_py_272,272,3 DE MAYO,l10n_py_base.state_py_7,True
district_py_273,273,DR. RAUL PEÑA,l10n_py_base.state_py_11,True
district_py_274,274,YBY PYTA,l10n_py_base.state_py_18,True
district_py_275,275,TEMBIAPORA,l10n_py_base.state_py_6,True
district_py_276,276,NUEVA TOLEDO,l10n_py_base.state_py_6,True
district_py_277,277,LOMA PYTA,l10n_py_base.state_py_12,True
district_py_278,278,KARAPAI,l10n_py_base.state_py_14,True
district_py_279,279,ZANJA PYTA,l10n_py_base.state_py_14,True
district_py_280,280,PASO BARRETO (MUNICIPIO),l10n_py_base.state_py_2,True
district_py_281,281,SAN ALFREDO (MUNICIPIO),l10n_py_base.state_py_2,True
district_py_282,282,AZOTE¿Y (MUNICIPIO),l10n_py_base.state_py_2,True
district_py_283,283,MARACANA,l10n_py_base.state_py_18,True
district_py_284,284,PUERTO ADELA,l10n_py_base.state_py_18,True
district_py_285,285,SAN VICENTE PANCHOLO,l10n_py_base.state_py_3,True
district_py_286,286,ARROYITO,l10n_py_base.state_py_2,True
